europe.city-maiden-castle | Maiden Castle | Europe | s=-600 e=-43 ext=None b=[-636, -564] | typological | h=None ds=None | Largest Iron Age hillfort in Britain; proto-urban tribal centre, not a city. | al=Dorset
europe.city-metapontum | Metapontum | Europe | s=-700 e=-200 ext=None b=[-742, -658] | typological | h=None ds=None | Achaean colony where Pythagoras died, with a fully mapped Greek farm landscape. | al=Metaponto,Basilicata
europe.city-midea | Midea | Europe | s=-1400 e=-1150 ext=None b=[-1484, -1316] | typological | h=None ds=None | Third great Mycenaean citadel of the Argolid, with rich chamber-tomb armour finds. | al=Dendra,Argolis
europe.city-mikulcice | Mikulčice | Europe | s=800 e=950 ext=None b=[752, 848] | typological | h=None ds=None | Great Moravian fortified centre with numerous stone churches, abandoned. | al=South Moravia
europe.city-milan | Milan | Europe | s=-400 e=None ext=True b=[-410, -390] | typological | h=None ds=None | Insubrian and Roman capital of the west, later Visconti-Sforza ducal metropolis. | al=Mediolanum,Milano
europe.city-monemvasia | Monemvasia | Europe | s=583 e=None ext=True b=[549, 617] | typological | h=None ds=None | Byzantine rock fortress town and Malmsey wine port. | al=Malvasia,Laconia
europe.city-morgantina | Morgantina | Europe | s=-1000 e=-50 ext=None b=[-1150, -850] | typological | h=None ds=None | Sikel then Hellenistic town with an outstanding agora, abandoned under Rome. | al=Morgantia,Sicily
europe.city-moscow | Moscow | Europe | s=1147 e=None ext=True b=[None, None] | calendar | h=None ds=None | Small Rus outpost that became the capital of Muscovy and of Russia. | al=Moskva
europe.city-motya | Motya | Europe | s=-750 e=-397 ext=None b=[-795, -705] | typological | h=None ds=None | Phoenician island city of western Sicily, destroyed by Dionysius I. | al=Mozia,Motye,Sicily
europe.city-murcia | Murcia | Europe | s=825 e=None ext=True b=[702, 948] | typological | h=None ds=None | Andalusi foundation on the Segura, a taifa capital and silk centre. | al=Mursiya
europe.city-mycenae | Mycenae | Europe | s=-1900 e=-1100 ext=None b=[-1938, -1862] | typological | h=None ds=None | Citadel that gave its name to Bronze Age Greek civilisation, with shaft graves and Lion Gate. | al=Mykenai,Argolis
europe.city-mystras | Mystras | Europe | s=1249 e=1500 ext=None b=[None, None] | calendar | h=None ds=None | Byzantine Despotate capital and last great centre of Byzantine art and learning. | al=Mistra,Laconia
europe.city-naissus | Naissus | Europe | s=-300 e=None ext=True b=[-325, -275] | typological | h=None ds=None | Birthplace of Constantine and key fortress on the Balkan military highway. | al=Niš,Nissa
europe.city-naples | Naples | Europe | s=-600 e=None ext=True b=[-612, -588] | typological | h=None ds=None | Greek foundation that became the largest city of early modern Europe. | al=Neapolis,Napoli,Parthenope
europe.city-naples-cuma | Puteoli | Europe | s=-531 e=None ext=True b=[-562, -500] | typological | h=None ds=None | Rome's main import harbour before Ostia, using volcanic concrete moles. | al=Pozzuoli,Dicaearchia
europe.city-narbo | Narbo Martius | Europe | s=-118 e=None ext=True b=[-143, -93] | typological | h=None ds=None | First Roman colony in Gaul and capital of Narbonensis; harbour later silted. | al=Narbonne
europe.city-naxos-island | Naxos (Cyclades) | Europe | s=-3000 e=None ext=True b=[-3450, -2550] | typological | h=None ds=None | Wealthiest early Cycladic island city, sponsor of monumental marble sculpture. | al=Naxos town,Naxos
europe.city-naxos-sicily | Naxos (Sicily) | Europe | s=-734 e=-403 ext=None b=[-778, -690] | typological | h=None ds=None | First Greek colony in Sicily, destroyed by Syracuse. | al=Giardini Naxos,Sicily
europe.city-nea-nikomedeia | Nea Nikomedeia | Europe | s=-6500 e=-5500 ext=None b=[-6890, -6110] | typological | h=None ds=None | Among the earliest farming settlements in Europe. | al=Imathia
europe.city-nebelivka | Nebelivka | Europe | s=-4200 e=-3800 ext=None b=[-4452, -3948] | typological | h=None ds=None | Trypillia mega-site with planned assembly houses and no evident central palace. | al=Kirovohrad Oblast
europe.city-nemea | Nemea | Europe | s=-800 e=400 ext=None b=[-920, -680] | typological | h=None ds=None | Panhellenic sanctuary and games site rather than a true city. | al=Nemea sanctuary,Corinthia
europe.city-nessebar | Mesembria | Europe | s=-600 e=None ext=True b=[-636, -564] | typological | h=None ds=None | Dorian Black Sea port with dense Byzantine church architecture on a rocky isthmus. | al=Nessebar,Mesambria
europe.city-nicopolis | Nicopolis (Epirus) | Europe | s=-29 e=1000 ext=None b=[-54, -4] | typological | h=None ds=None | Victory city founded by Augustus after Actium, later a Byzantine metropolis. | al=Nikopolis,Preveza
europe.city-nicopolis-ad-istrum | Nicopolis ad Istrum | Europe | s=106 e=600 ext=None b=[56, 156] | typological | h=None ds=None | Trajanic city on the Danube frontier where Gothic Christianity took shape. | al=Veliko Tarnovo
europe.city-nidaros | Nidaros | Europe | s=997 e=None ext=True b=[978, 1016] | typological | h=None ds=None | Norwegian royal capital and shrine of St Olaf; northernmost medieval metropolis. | al=Trondheim,Trondhjem
europe.city-nikaia | Nikaia | Europe | s=-350 e=None ext=True b=[-402, -298] | typological | h=None ds=None | Massaliot foundation and Roman Cemenelum's port on the Ligurian coast. | al=Nice,Nicaea
europe.city-nimes | Nemausus | Europe | s=-500 e=None ext=True b=[-530, -470] | typological | h=None ds=None | Volcae capital and showcase Roman colony with the Maison Carrée and arena. | al=Nîmes
europe.city-nitra | Nitra | Europe | s=800 e=None ext=True b=[752, 848] | typological | h=None ds=None | Seat of the first Slavic principality and church north of the Danube. | al=
europe.city-nora-sardinia | Nora | Europe | s=-800 e=700 ext=None b=[-920, -680] | typological | h=None ds=None | Oldest Phoenician city of Sardinia, later submerged and deserted. | al=Sardinia
europe.city-novgorod | Novgorod | Europe | s=859 e=None ext=True b=[842, 876] | typological | h=None ds=None | Merchant republic of the Rus, Hanseatic partner and source of birchbark letters. | al=Veliky Novgorod,Holmgard
europe.city-numantia | Numantia | Europe | s=-600 e=-133 ext=None b=[-612, -588] | typological | h=None ds=None | Celtiberian hill city whose suicidal resistance to Rome became a national legend. | al=Numancia,Soria
europe.city-nuremberg | Nuremberg | Europe | s=1050 e=None ext=True b=[None, None] | calendar | h=None ds=None | Imperial free city of metal crafts, printing and the Nuremberg diet. | al=Nürnberg,Norimberga
europe.city-odessos | Odessos | Europe | s=-570 e=None ext=True b=[-604, -536] | typological | h=None ds=None | Milesian Black Sea colony beside Europe's oldest gold hoard at Varna. | al=Varna,Odessus
europe.city-ohrid | Ohrid | Europe | s=-400 e=None ext=True b=[-425, -375] | typological | h=None ds=None | Lake city that became the ecclesiastical capital of the Bulgarian church. | al=Lychnidos
europe.city-olbia-pontica | Olbia Pontica | Europe | s=-600 e=400 ext=None b=[-636, -564] | typological | h=None ds=None | Greek grain emporium linking the Aegean to the Scythian steppe. | al=Olbia,Borysthenes,Mykolaiv Oblast
europe.city-olbia-sardinia | Olbia (Sardinia) | Europe | s=-600 e=None ext=True b=[-690, -510] | typological | h=None ds=None | Punic-Roman port linking Sardinia to Ostia. | al=Olbia
europe.city-olomouc | Olomouc | Europe | s=1000 e=None ext=True b=[None, None] | calendar | h=None ds=None | Moravian episcopal and ducal city on the amber route. | al=Olmütz
europe.city-olympia | Olympia | Europe | s=-1000 e=400 ext=None b=[-1020, -980] | typological | h=None ds=None | Panhellenic sanctuary of Zeus and home of the Olympic Games; sanctuary, not a city. | al=Olympia sanctuary,Elis
europe.city-orchomenos | Orchomenos | Europe | s=-3000 e=-100 ext=None b=[-3450, -2550] | typological | h=None ds=None | Mycenaean and later Boeotian rival of Thebes, with a great tholos tomb. | al=Orchomenus,Boeotia
europe.city-orvieto | Volsinii | Europe | s=-900 e=None ext=True b=[-1035, -765] | typological | h=None ds=None | Probable site of the Etruscan federal sanctuary Fanum Voltumnae. | al=Orvieto,Velzna,Umbria
europe.city-oslo | Oslo | Europe | s=1040 e=None ext=True b=[None, None] | calendar | h=None ds=None | Fjord-head royal town that later became Norway's capital. | al=Ánslo,Christiania
europe.city-ostia | Ostia | Europe | s=-620 e=900 ext=None b=[-632, -608] | typological | h=None ds=None | Rome's harbour city and best-preserved Roman commercial town. | al=Ostia Antica,Lazio
europe.city-otranto | Otranto | Europe | s=-500 e=None ext=True b=[-575, -425] | typological | h=None ds=None | Closest Italian port to Greece and gateway of Byzantine culture to Italy. | al=Hydruntum
europe.city-oviedo | Oviedo | Europe | s=761 e=None ext=True b=[716, 806] | typological | h=None ds=None | Capital of the Asturian kingdom and cradle of pre-Romanesque architecture. | al=Ovetum
europe.city-padua | Patavium | Europe | s=-1200 e=None ext=True b=[-1272, -1128] | typological | h=None ds=None | Venetic city, wealthy Roman municipium and home of a major medieval university. | al=Padova,Padua
europe.city-paestum | Paestum | Europe | s=-600 e=900 ext=None b=[-612, -588] | typological | h=None ds=None | Greek colony with three of the best-preserved Doric temples anywhere, later malarial and abandoned. | al=Poseidonia,Campania
europe.city-palermo | Palermo | Europe | s=-734 e=None ext=True b=[-748, -720] | typological | h=None ds=None | Phoenician port that became the multicultural capital of Norman Sicily. | al=Panormus,Zis,Balarm
europe.city-palma-mallorca | Palma | Europe | s=-123 e=None ext=True b=[-173, -73] | typological | h=None ds=None | Roman foundation and later capital of the Kingdom of Mallorca. | al=Palma de Mallorca,Palmaria
europe.city-pantalica | Pantalica | Europe | s=-1250 e=-700 ext=None b=[-1437, -1063] | typological | h=None ds=None | Vast rock-cut necropolis and hilltop centre of late Bronze Age Sicily. | al=Sicily
europe.city-panticapaeum | Panticapaeum | Europe | s=-600 e=None ext=True b=[-636, -564] | typological | h=None ds=None | Capital of the Bosporan Kingdom and hub of the Black Sea grain trade. | al=Kerch,Bosporos
europe.city-paros | Paros | Europe | s=-3000 e=None ext=True b=[-3450, -2550] | typological | h=None ds=None | Marble-exporting island city, mother city of Thasos. | al=Parikia
europe.city-pavia | Pavia | Europe | s=-89 e=None ext=True b=[-114, -64] | typological | h=None ds=None | Capital of the Lombard kingdom and coronation city of Italy. | al=Ticinum
europe.city-paviken | Paviken | Europe | s=600 e=1000 ext=None b=[510, 690] | typological | h=None ds=None | Viking Age harbour and shipyard on Gotland, predecessor of Visby. | al=Gotland
europe.city-pella | Pella | Europe | s=-400 e=400 ext=None b=[-410, -390] | typological | h=None ds=None | Capital of Macedon and birthplace of Alexander the Great. | al=Pela
europe.city-perth-scotland | Perth | Europe | s=1100 e=None ext=True b=[None, None] | calendar | h=None ds=None | Tay burgh and medieval Scottish royal centre beside Scone. | al=St Johnstoun
europe.city-perugia | Perusia | Europe | s=-800 e=None ext=True b=[-920, -680] | typological | h=None ds=None | Etruscan hill city with monumental gates, later a papal state capital. | al=Perugia,Umbria
europe.city-phaistos | Phaistos | Europe | s=-4000 e=-1200 ext=None b=[-4240, -3760] | typological | h=None ds=None | Second Minoan palace of Crete, source of the undeciphered Phaistos Disc. | al=Faistos,Crete
europe.city-philippi | Philippi | Europe | s=-360 e=1400 ext=None b=[-385, -335] | typological | h=None ds=None | Macedonian gold town, battle site of 42 BCE and first Christian church in Europe. | al=Philippoi,Kavala
europe.city-philippopolis | Philippopolis | Europe | s=-4000 e=None ext=True b=[-4240, -3760] | typological | h=None ds=None | One of Europe's oldest continuously inhabited cities and capital of Roman Thrace. | al=Plovdiv,Trimontium,Pulpudeva
europe.city-phylakopi | Phylakopi | Europe | s=-2300 e=-1100 ext=None b=[-2438, -2162] | typological | h=None ds=None | Cycladic town controlling the Aegean obsidian trade from Melos. | al=Phylakopi, Melos,Melos
europe.city-piacenza | Placentia | Europe | s=-218 e=None ext=True b=[-268, -168] | typological | h=None ds=None | Roman colony guarding the Po crossing of the via Emilia. | al=Piacenza
europe.city-piraeus | Piraeus | Europe | s=-500 e=None ext=True b=[-510, -490] | typological | h=None ds=None | Fortified war harbour that made Athens a naval empire. | al=Peiraieus
europe.city-pisa | Pisa | Europe | s=-500 e=None ext=True b=[-510, -490] | typological | h=None ds=None | Maritime republic that took Sardinia and the Balearics and built the leaning tower. | al=Pisae
europe.city-pithekoussai | Pithekoussai | Europe | s=-770 e=-500 ext=None b=[-816, -724] | typological | h=None ds=None | Earliest Greek trading settlement in the west, gateway of the alphabet to Italy. | al=Ischia,Pithecusae
europe.city-plataea | Plataea | Europe | s=-700 e=400 ext=None b=[-805, -595] | typological | h=None ds=None | Site of the decisive victory over Persia; small Boeotian city destroyed repeatedly. | al=Plataiai,Boeotia
europe.city-pliska | Pliska | Europe | s=681 e=1000 ext=None b=[641, 721] | typological | h=None ds=None | First capital of the Bulgarian Empire, a vast walled steppe-style camp city. | al=Pliskov,Shumen
europe.city-plock | Płock | Europe | s=900 e=None ext=True b=[765, 1035] | typological | h=None ds=None | Early Piast royal seat and Masovian cathedral city on the Vistula. | al=Plock
europe.city-poliochni | Poliochni | Europe | s=-3200 e=-2100 ext=None b=[-3392, -3008] | typological | h=None ds=None | Among the oldest fortified towns in Europe, a metalworking centre of the north Aegean. | al=Poliochne,Palamari,Lemnos
europe.city-polotsk | Polotsk | Europe | s=862 e=None ext=True b=[811, 913] | typological | h=None ds=None | Oldest Belarusian city and seat of an independent Rus principality. | al=Polatsk
europe.city-pompeii | Pompeii | Europe | s=-600 e=79 ext=None b=[-612, -588] | typological | h=None ds=None | Roman town frozen by Vesuvius, the fullest surviving picture of ancient daily life. | al=Campania
europe.city-populonia | Populonia | Europe | s=-900 e=1400 ext=None b=[-1035, -765] | typological | h=None ds=None | Only coastal Etruscan city, smelting iron from Elba on an industrial scale. | al=Populonium,Pupluna,Tuscany
europe.city-porto | Porto | Europe | s=-300 e=None ext=True b=[-350, -250] | typological | h=None ds=None | Douro-mouth port whose name became Portugal. | al=Cale,Portus Cale
europe.city-portus | Portus | Europe | s=42 e=600 ext=None b=[-8, 92] | typological | h=None ds=None | Purpose-built imperial harbour that fed Rome by sea. | al=Portus Romae,Fiumicino
europe.city-poznan | Poznań | Europe | s=900 e=None ext=True b=[846, 954] | typological | h=None ds=None | Piast stronghold and site of Poland's earliest cathedral. | al=Posen
europe.city-praeneste | Praeneste | Europe | s=-700 e=None ext=True b=[-742, -658] | typological | h=None ds=None | Latin hill city with the colossal oracular sanctuary of Fortuna Primigenia. | al=Palestrina,Lazio
europe.city-prague | Prague | Europe | s=870 e=None ext=True b=[853, 887] | typological | h=None ds=None | Bohemian capital and, under Charles IV, imperial capital with the first German university. | al=Praha,Praga
europe.city-preslav | Preslav | Europe | s=821 e=1400 ext=None b=[772, 870] | typological | h=None ds=None | Second Bulgarian capital and cradle of the Cyrillic literary tradition. | al=Great Preslav,Veliki Preslav,Shumen
europe.city-provadia-solnitsata | Solnitsata (Provadia) | Europe | s=-5500 e=-4200 ext=None b=[-6325, -4675] | typological | h=None ds=None | Fortified Chalcolithic salt-production town, arguably Europe's oldest town. | al=Provadia-Solnitsata,Provadia
europe.city-pskov | Pskov | Europe | s=903 e=None ext=True b=[849, 957] | typological | h=None ds=None | Fortress republic on the western frontier of the Rus, ally then rival of Novgorod. | al=Pleskau
europe.city-pula | Pula | Europe | s=-1000 e=None ext=True b=[-1060, -940] | typological | h=None ds=None | Istrian port with one of the best preserved Roman amphitheatres. | al=Pola,Polensium
europe.city-pylos | Pylos | Europe | s=-1600 e=-1180 ext=None b=[-1632, -1568] | typological | h=None ds=None | Mycenaean palace whose burnt Linear B archive documents an entire Bronze Age economy. | al=Ano Englianos,Palace of Nestor,Messenia
europe.city-quentovic | Quentovic | Europe | s=600 e=900 ext=None b=[564, 636] | typological | h=None ds=None | Chief Frankish North Sea emporium for cross-Channel trade, lost to Viking raids. | al=Étaples area
europe.city-ratiaria | Ratiaria | Europe | s=-75 e=586 ext=None b=[-125, -25] | typological | h=None ds=None | Danube legionary base and capital of Dacia Ripensis, destroyed by the Huns and Avars. | al=Colonia Ulpia Ratiaria,Vidin Province
europe.city-ravenna | Ravenna | Europe | s=-200 e=None ext=True b=[-210, -190] | typological | h=None ds=None | Last capital of the western empire and of Ostrogothic and Byzantine Italy, with its mosaics. | al=
europe.city-regensburg | Castra Regina | Europe | s=179 e=None ext=True b=[154, 204] | typological | h=None ds=None | Legionary fortress turned Bavarian ducal capital and Danube trade city. | al=Regensburg,Ratisbon
europe.city-reykjavik | Reykjavík | Europe | s=874 e=None ext=True b=[743, 1005] | typological | h=None ds=None | Landnám farmstead of Iceland's first settler; urban only much later. | al=Reykjavik
europe.city-rhegium | Rhegium | Europe | s=-730 e=None ext=True b=[-773, -687] | typological | h=None ds=None | Greek city commanding the Straits of Messina. | al=Reggio Calabria,Rhegion
europe.city-rhodes-city | Rhodes | Europe | s=-408 e=None ext=True b=[-418, -398] | typological | h=None ds=None | Hellenistic maritime republic, site of the Colossus and later Knights' capital. | al=Rodos
europe.city-ribe | Ribe | Europe | s=704 e=None ext=True b=[690, 718] | typological | h=None ds=None | Oldest town in Scandinavia and Denmark's North Sea trading emporium. | al=
europe.city-rome | Rome | Europe | s=-800 e=None ext=True b=[-816, -784] | typological | h=None ds=None | Capital of the Roman Empire and of Latin Christendom; the archetypal ancient city. | al=Roma,Urbs
europe.city-roskilde | Roskilde | Europe | s=980 e=None ext=True b=[922, 1038] | typological | h=None ds=None | Viking royal seat, Danish cathedral city and shipbuilding harbour. | al=
europe.city-rostov-veliky | Rostov Veliky | Europe | s=862 e=None ext=True b=[733, 991] | typological | h=None ds=None | One of the oldest Rus towns and an early episcopal centre. | al=Rostov the Great,Yaroslavl Oblast
europe.city-rotomagus | Rotomagus | Europe | s=-50 e=None ext=True b=[-75, -25] | typological | h=None ds=None | Seine port and capital of Normandy. | al=Rouen
europe.city-ryazan | Ryazan | Europe | s=1095 e=None ext=True b=[None, None] | calendar | h=None ds=None | Frontier Rus capital destroyed by the Mongols in 1237 and relocated. | al=Old Ryazan,Staraya Ryazan,Ryazan Oblast
europe.city-saguntum | Saguntum | Europe | s=-500 e=None ext=True b=[-510, -490] | typological | h=None ds=None | Iberian city whose siege by Hannibal triggered the Second Punic War. | al=Sagunto,Arse
europe.city-salerno | Salerno | Europe | s=-197 e=None ext=True b=[-222, -172] | typological | h=None ds=None | Lombard-Norman capital and seat of Europe's first medical school. | al=Salernum
europe.city-salona | Salona | Europe | s=-300 e=639 ext=None b=[-325, -275] | typological | h=None ds=None | Capital of Roman Dalmatia and birthplace region of Diocletian, sacked by the Avars. | al=Solin,Salonae
europe.city-samarobriva | Samarobriva | Europe | s=-50 e=None ext=True b=[-100, -1] | typological | h=None ds=None | Roman Ambiani capital, later a woad and cloth city with a vast cathedral. | al=Amiens
europe.city-samos-city | Samos (Pythagoreion) | Europe | s=-1000 e=None ext=True b=[-1060, -940] | typological | h=None ds=None | Tyranny of Polykrates, with the vast Heraion and the Eupalinos tunnel. | al=Pythagoreion,Heraion,Samos
europe.city-santiago-compostela | Santiago de Compostela | Europe | s=830 e=None ext=True b=[814, 846] | typological | h=None ds=None | Shrine of St James and the greatest pilgrimage destination of medieval Europe. | al=Compostela,Galicia
europe.city-sarmizegetusa | Sarmizegetusa Regia | Europe | s=-100 e=106 ext=None b=[-125, -75] | typological | h=None ds=None | Fortified capital of the Dacian kingdom, destroyed by Trajan. | al=Hunedoara
europe.city-schleswig | Schleswig | Europe | s=1050 e=None ext=True b=[None, None] | calendar | h=None ds=None | Successor town to Hedeby on the Schlei fjord. | al=Sliaswich
europe.city-scupi | Scupi / Skopje | Europe | s=-100 e=None ext=True b=[-125, -75] | typological | h=None ds=None | Roman colony destroyed by earthquake, refounded as a Balkan crossroads city. | al=Skopje,Skoplje
europe.city-segesta | Segesta | Europe | s=-700 e=1300 ext=None b=[-742, -658] | typological | h=None ds=None | Elymian city whose appeal to Athens triggered the Sicilian Expedition. | al=Egesta,Sicily
europe.city-segovia | Segovia | Europe | s=-100 e=None ext=True b=[-125, -75] | typological | h=None ds=None | Roman aqueduct city and Castilian royal seat and wool centre. | al=
europe.city-selinunte | Selinunte | Europe | s=-628 e=-250 ext=None b=[-640, -616] | typological | h=None ds=None | Greek frontier city with colossal temples, destroyed by Carthage and abandoned. | al=Selinus,Selinous,Sicily
europe.city-serdica | Serdica / Sofia | Europe | s=-500 e=None ext=True b=[-530, -470] | typological | h=None ds=None | Thracian and Roman city Constantine called "my Rome", later Bulgarian capital. | al=Sofia,Sardica,Triaditsa
europe.city-sicyon | Sicyon | Europe | s=-1000 e=400 ext=None b=[-1150, -850] | typological | h=None ds=None | Early tyranny and centre of Greek bronze sculpture and painting. | al=Sikyon,Corinthia
europe.city-siena | Siena | Europe | s=-100 e=None ext=True b=[-125, -75] | typological | h=None ds=None | Ghibelline banking rival of Florence, halted by the Black Death. | al=Saena Julia
europe.city-sigtuna | Sigtuna | Europe | s=980 e=None ext=True b=[961, 999] | typological | h=None ds=None | Successor to Birka, Sweden's first Christian royal town and mint. | al=
europe.city-silves | Silves | Europe | s=700 e=None ext=True b=[595, 805] | typological | h=None ds=None | Capital of the Algarve taifa, a wealthy Andalusi river port. | al=Xelb
europe.city-singidunum | Singidunum | Europe | s=-279 e=None ext=True b=[-304, -254] | typological | h=None ds=None | Celtic and Roman fortress at the Sava-Danube junction, later Serbian capital. | al=Belgrade,Beograd
europe.city-sipontum | Sipontum | Europe | s=-300 e=1256 ext=None b=[-350, -250] | typological | h=None ds=None | Adriatic port abandoned to malaria and replaced by Manfredonia. | al=Siponto,Manfredonia
europe.city-sirmium | Sirmium | Europe | s=-300 e=582 ext=None b=[-310, -290] | typological | h=None ds=None | One of four capitals of the late Roman Empire, destroyed by the Avars. | al=Sremska Mitrovica
europe.city-skalholt | Skálholt | Europe | s=1056 e=1500 ext=None b=[None, None] | calendar | h=None ds=None | Episcopal see and largest settlement of medieval Iceland. | al=Skalholt,Iceland
europe.city-smolensk | Smolensk | Europe | s=863 e=None ext=True b=[812, 914] | typological | h=None ds=None | Dnieper portage city on the route from the Varangians to the Greeks. | al=
europe.city-sopianae | Sopianae | Europe | s=-50 e=None ext=True b=[-100, -1] | typological | h=None ds=None | Late Roman city with painted Christian tombs, later Hungary's first university. | al=Pécs,Fünfkirchen
europe.city-sozopol | Apollonia Pontica | Europe | s=-610 e=None ext=True b=[-701, -519] | typological | h=None ds=None | Milesian colony and Black Sea copper and grain port. | al=Sozopol,Apollonia
europe.city-sparta | Sparta | Europe | s=-1000 e=None ext=True b=[-1020, -980] | typological | h=None ds=None | Militarised hegemon of the Peloponnese and victor of the Peloponnesian War. | al=Lacedaemon,Sparti
europe.city-speyer | Speyer | Europe | s=-10 e=None ext=True b=[-60, 40] | typological | h=None ds=None | Salian imperial burial city with the largest Romanesque cathedral. | al=Noviomagus,Spira
europe.city-spina | Spina | Europe | s=-530 e=-250 ext=None b=[-561, -499] | typological | h=None ds=None | Etruscan-Greek lagoon port on the Po delta, silted up and abandoned. | al=Emilia-Romagna
europe.city-split | Split | Europe | s=295 e=None ext=True b=[285, 305] | typological | h=None ds=None | City grown inside Diocletian's fortified palace after Salona fell. | al=Spalatum,Aspalathos
europe.city-st-andrews | St Andrews | Europe | s=900 e=None ext=True b=[846, 954] | typological | h=None ds=None | Scotland's ecclesiastical capital, pilgrimage shrine and first university town. | al=Cennrígmonaid,Fife
europe.city-stabiae | Stabiae | Europe | s=-600 e=79 ext=None b=[-636, -564] | typological | h=None ds=None | Villa resort destroyed with Pompeii; where Pliny the Elder died. | al=Castellammare di Stabia,Campania
europe.city-staraya-ladoga | Staraya Ladoga | Europe | s=753 e=None ext=True b=[738, 768] | typological | h=None ds=None | Earliest Rus trading town, Rurik's first seat on the route to the Caspian. | al=Aldeigjuborg,Ladoga,Leningrad Oblast
europe.city-starcevo | Starčevo | Europe | s=-6200 e=-5200 ext=None b=[-7130, -5270] | typological | h=None ds=None | Type site of the earliest Balkan farming culture; village-scale. | al=Starčevo-Grad,Vojvodina
europe.city-stare-mesto-uherske | Staré Město (Veligrad) | Europe | s=800 e=1000 ext=None b=[680, 920] | typological | h=None ds=None | Probable capital of Great Moravia and Cyrillo-Methodian mission base. | al=Veligrad,Uherské Hradiště,Moravia
europe.city-stobi | Stobi | Europe | s=-300 e=600 ext=None b=[-325, -275] | typological | h=None ds=None | Roman and early Christian city on the Axios trade route, abandoned after earthquakes. | al=North Macedonia
europe.city-stonehenge | Stonehenge | Europe | s=-3000 e=-1600 ext=None b=[-3060, -2940] | typological | h=None ds=None | Iconic ceremonial monument and gathering place; not a settlement. | al=Wiltshire
europe.city-su-nuraxi | Su Nuraxi di Barumini | Europe | s=-1600 e=-300 ext=None b=[-1696, -1504] | typological | h=None ds=None | Nuragic tower-village complex, the densest example of Sardinian proto-urbanism. | al=Barumini,Sardinia
europe.city-suzdal | Suzdal | Europe | s=1024 e=None ext=True b=[None, None] | calendar | h=None ds=None | Princely and monastic city of northeastern Rus with white-stone churches. | al=Vladimir Oblast
europe.city-sybaris | Sybaris | Europe | s=-720 e=-510 ext=None b=[-763, -677] | typological | h=None ds=None | Byword for luxury, destroyed by Croton and buried under later Thurii. | al=Thurii,Copia,Calabria
europe.city-syracuse | Syracuse | Europe | s=-733 e=None ext=True b=[-747, -719] | typological | h=None ds=None | Greatest Greek city of the west, home of Archimedes and rival of Athens and Carthage. | al=Siracusa,Syrakousai,Sicily
europe.city-szczecin | Szczecin | Europe | s=750 e=None ext=True b=[638, 862] | typological | h=None ds=None | Pomeranian ducal seat and Oder trading city. | al=Stettin
europe.city-szekesfehervar | Székesfehérvár | Europe | s=1000 e=None ext=True b=[None, None] | calendar | h=None ds=None | Coronation and burial city of the Hungarian kings. | al=Alba Regia,Stuhlweissenburg
europe.city-talianki | Talianki | Europe | s=-4000 e=-3600 ext=None b=[-4240, -3760] | typological | h=None ds=None | Trypillia "mega-site" of perhaps 10000 people, among the largest settlements of its age. | al=Talljanky,Cherkasy Oblast
europe.city-tanais | Tanais | Europe | s=-300 e=500 ext=None b=[-350, -250] | typological | h=None ds=None | Northernmost Greek emporium, meeting point of Greek and Sarmatian worlds. | al=Rostov Oblast
